[1-0]R=928054; MaxAge=970; Cached=1, Rsp=0.000151;(0.000000)(0.000000)(0.000000)(0.000149)
[1-0]R=928056; MaxAge=956; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000160)
[1-0]R=928056; MaxAge=956; Cached=0, Rsp=0.026035;(0.012227)(0.005125)(0.008209)(0.000474)
[1-0]R=928056; MaxAge=956; Cached=1, Rsp=0.000274;(0.000000)(0.000000)(0.000000)(0.000272)
[1-0]R=928059; MaxAge=947; Cached=0, Rsp=0.025919;(0.012243)(0.005125)(0.008210)(0.000341)
[1-0]R=928059; MaxAge=947; Cached=1, Rsp=0.000274;(0.000000)(0.000000)(0.000000)(0.000272)
[1-0]R=928059; MaxAge=8; Cached=1, Rsp=0.000325;(0.000000)(0.000000)(0.000000)(0.000323)
[1-0]R=928062; MaxAge=938; Cached=0, Rsp=0.025879;(0.012241)(0.005104)(0.008206)(0.000328)
[1-0]R=928062; MaxAge=938; Cached=1, Rsp=0.000192;(0.000000)(0.000000)(0.000000)(0.000190)
[1-0]R=928064; MaxAge=978; Cached=1, Rsp=0.000159;(0.000000)(0.000000)(0.000000)(0.000158)
[1-0]R=928064; MaxAge=978; Cached=1, Rsp=0.000138;(0.000000)(0.000000)(0.000000)(0.000136)
[1-0]R=928068; MaxAge=975; Cached=0, Rsp=0.025943;(0.012241)(0.005105)(0.008210)(0.000387)
[1-0]R=928068; MaxAge=975; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000160)
[1-0]R=928069; MaxAge=955; Cached=0, Rsp=0.025929;(0.012226)(0.005127)(0.008209)(0.000367)
[1-0]R=928069; MaxAge=955; Cached=1, Rsp=0.000163;(0.000000)(0.000000)(0.000000)(0.000160)
[1-0]R=928074; MaxAge=958; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000159)
[1-0]R=928074; MaxAge=958; Cached=1, Rsp=0.000249;(0.000000)(0.000000)(0.000000)(0.000248)
[1-0]R=928074; MaxAge=958; Cached=0, Rsp=0.026259;(0.012221)(0.005124)(0.008206)(0.000708)
[1-0]R=928074; MaxAge=958; Cached=1, Rsp=0.000416;(0.000000)(0.000000)(0.000000)(0.000414)
[1-0]R=928079; MaxAge=961; Cached=0, Rsp=0.025944;(0.012247)(0.005125)(0.008211)(0.000361)
[1-0]R=928079; MaxAge=961; Cached=1, Rsp=0.000401;(0.000000)(0.000000)(0.000000)(0.000399)
[1-0]R=928080; MaxAge=941; Cached=0, Rsp=0.025833;(0.012226)(0.005122)(0.008209)(0.000276)
[1-0]R=928080; MaxAge=941; Cached=1, Rsp=0.000146;(0.000000)(0.000000)(0.000000)(0.000144)
[1-0]R=928084; MaxAge=938; Cached=0, Rsp=0.025918;(0.012240)(0.005124)(0.008209)(0.000345)
[1-0]R=928084; MaxAge=938; Cached=1, Rsp=0.000345;(0.000000)(0.000000)(0.000000)(0.000343)
[1-0]R=928086; MaxAge=978; Cached=0, Rsp=0.025836;(0.012244)(0.005105)(0.008195)(0.000292)
[1-0]R=928086; MaxAge=978; Cached=1, Rsp=0.000322;(0.000000)(0.000000)(0.000000)(0.000320)
[1-0]R=928089; MaxAge=970; Cached=1, Rsp=0.000179;(0.000000)(0.000000)(0.000000)(0.000177)
[1-0]R=928092; MaxAge=961; Cached=0, Rsp=0.025818;(0.012238)(0.005121)(0.008190)(0.000269)
[1-0]R=928092; MaxAge=961; Cached=1, Rsp=0.000138;(0.000000)(0.000000)(0.000000)(0.000136)
[1-0]R=928094; MaxAge=946; Cached=0, Rsp=0.025754;(0.012235)(0.005106)(0.008157)(0.000256)
[1-0]R=928098; MaxAge=944; Cached=0, Rsp=0.026006;(0.012247)(0.005128)(0.008235)(0.000396)
[1-0]R=928098; MaxAge=944; Cached=1, Rsp=0.000162;(0.000000)(0.000000)(0.000000)(0.000160)
[1-0]R=928098; MaxAge=5; Cached=1, Rsp=0.000317;(0.000000)(0.000000)(0.000000)(0.000314)
